epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.25,2.05442,8.43196,1.58754,0.5477,0.45284,0.46029,0.17597,2.20061,8.57084,1.7039,0.000284594,0.000284594,0.000284594
2,544.791,2.04491,8.35968,1.58643,0.54494,0.43579,0.44445,0.16647,2.24357,8.63628,1.73372,0.000564747,0.000564747,0.000564747
3,814.602,2.07477,8.67354,1.61392,0.53888,0.44739,0.43998,0.15549,2.21645,8.44238,1.71175,0.000839241,0.000839241,0.000839241
4,1074,2.07643,8.6604,1.60263,0.51673,0.41129,0.41383,0.14781,2.2471,9.04041,1.75342,0.00110808,0.00110808,0.00110808
5,1340.26,2.09165,8.80732,1.61282,0.52139,0.39982,0.41729,0.14804,2.25239,8.77766,1.77016,0.00137125,0.00137125,0.00137125
6,1601.47,2.09903,8.85543,1.62293,0.46615,0.37405,0.37699,0.13889,2.26444,9.70187,1.72465,0.00135826,0.00135826,0.00135826
7,1889.49,2.09645,8.72346,1.61618,0.51043,0.42054,0.43665,0.15824,2.21754,9.12866,1.71176,0.00134412,0.00134412,0.00134412
8,2190.13,2.10459,8.7634,1.61635,0.47351,0.4332,0.42134,0.14431,2.24827,8.90896,1.73601,0.00132997,0.00132997,0.00132997
9,2466.28,2.10248,8.77101,1.62734,0.50583,0.42696,0.42147,0.15484,2.21302,8.75538,1.70762,0.00131582,0.00131582,0.00131582
10,2745.41,2.09291,8.66611,1.61456,0.50315,0.42246,0.42257,0.15496,2.21071,9.06724,1.7088,0.00130168,0.00130168,0.00130168
11,3019.11,2.1002,8.60951,1.61676,0.52579,0.40758,0.42519,0.15312,2.21933,9.1524,1.72688,0.00128753,0.00128753,0.00128753
12,3293.32,2.088,8.5258,1.60507,0.51123,0.43989,0.42463,0.16235,2.2404,8.67282,1.70192,0.00127338,0.00127338,0.00127338
13,3561.72,2.08575,8.51173,1.61228,0.48997,0.39653,0.39994,0.1483,2.23805,8.97894,1.73317,0.00125923,0.00125923,0.00125923
14,3829.19,2.09128,8.54463,1.61846,0.50727,0.44991,0.44267,0.16586,2.20307,8.61514,1.69521,0.00124509,0.00124509,0.00124509
15,4104.62,2.09115,8.49103,1.60561,0.51731,0.45591,0.44854,0.16614,2.22078,8.59126,1.71926,0.00123094,0.00123094,0.00123094
16,4373.79,2.09502,8.46274,1.60339,0.48658,0.42472,0.4227,0.15214,2.23242,9.06964,1.70116,0.00121679,0.00121679,0.00121679
17,4641.07,2.08696,8.40739,1.6125,0.55532,0.44403,0.457,0.16814,2.23706,8.7075,1.73356,0.00120265,0.00120265,0.00120265
18,4908.82,2.08234,8.41357,1.61189,0.51412,0.44406,0.4368,0.16246,2.21905,8.73813,1.70665,0.0011885,0.0011885,0.0011885
19,5168.94,2.07875,8.3087,1.59493,0.52866,0.43893,0.44213,0.16392,2.23543,8.53152,1.71089,0.00117435,0.00117435,0.00117435
20,5435.26,2.0787,8.25817,1.59937,0.54345,0.43752,0.4511,0.1667,2.20064,8.93626,1.69733,0.00116021,0.00116021,0.00116021
